Coach,Tm,G,W,L,T,w/ Team_G,w/ Team_W,w/ Team_L,w/ Team_T,Career_G,Career_W,Career_L,Career_T,Playoffs_G plyf,Playoffs_W plyf,Playoffs_L plyf,w/ Team_G plyf,w/ Team_W plyf,w/ Team_L plyf,Career_G plyf,Career_W plyf,Career_L plyf,Remark,season
Norv Turner,WAS,16,9,7,0,109,49,59,1,237,114,122,1,0,0,0,2,1,1,8,4,4,,1996
Buddy Ryan,ARI,16,4,12,0,32,12,20,0,111,55,55,1,0,0,0,0,0,0,3,0,3,,1995
June Jones,ATL,16,9,7,0,48,19,29,0,58,22,36,0,1,0,1,1,0,1,1,0,1,,1995
Marv Levy,BUF,16,10,6,0,182,112,70,0,255,143,112,0,2,1,1,19,11,8,19,11,8,,1995
Dom Capers,CAR,16,7,9,0,64,30,34,0,128,48,80,0,0,0,0,2,1,1,2,1,1,,1995
Dave Wannstedt,CHI,16,9,7,0,96,40,56,0,169,82,87,0,0,0,0,2,1,1,5,2,3,,1995
David Shula,CIN,16,7,9,0,71,19,52,0,71,19,52,0,0,0,0,0,0,0,0,0,0,,1995
Bill Belichick,CLE,16,5,11,0,80,36,44,0,466,302,164,0,0,0,0,2,1,1,44,31,13,,1995
Barry Switzer,DAL,16,12,4,0,64,40,24,0,64,40,24,0,3,3,0,7,5,2,7,5,2,Super Bowl Champions,1995
Mike Shanahan,DEN,16,8,8,0,224,138,86,0,308,170,138,0,0,0,0,13,8,5,14,8,6,,1995
Wayne Fontes,DET,16,10,6,0,133,66,67,0,133,66,67,0,1,0,1,5,1,4,5,1,4,,1995
Mike Holmgren,GNB,16,11,5,0,112,75,37,0,272,161,111,0,3,2,1,14,9,5,24,13,11,,1995
Jeff Fisher,HOU,16,7,9,0,262,142,120,0,339,173,165,1,0,0,0,11,5,6,11,5,6,,1995
Ted Marchibroda,IND,16,9,7,0,138,71,67,0,186,87,98,1,3,2,1,6,2,4,6,2,4,,1995
Tom Coughlin,JAX,16,4,12,0,128,68,60,0,320,170,150,0,0,0,0,8,4,4,19,12,7,,1995
Marty Schottenheimer,KAN,16,13,3,0,160,101,58,1,327,200,126,1,1,0,1,10,3,7,18,5,13,,1995
Don Shula,MIA,16,9,7,0,392,257,133,2,490,328,156,6,1,0,1,31,17,14,36,19,17,,1995
Dennis Green,MIN,16,8,8,0,159,97,62,0,207,113,94,0,0,0,0,12,4,8,12,4,8,,1995
Jim Mora,NOR,16,7,9,0,167,93,74,0,231,125,106,0,0,0,0,4,0,4,6,0,6,,1995
Bill Parcells,NWE,16,6,10,0,64,32,32,0,303,172,130,1,0,0,0,4,2,2,19,11,8,,1995
Dan Reeves,NYG,16,5,11,0,64,31,33,0,357,190,165,2,0,0,0,2,1,1,20,11,9,,1995
Rich Kotite,NYJ,16,3,13,0,32,4,28,0,96,40,56,0,0,0,0,0,0,0,2,1,1,,1995
Mike White,OAK,16,8,8,0,32,15,17,0,32,15,17,0,0,0,0,0,0,0,0,0,0,,1995
Ray Rhodes,PHI,16,10,6,0,64,29,34,1,80,37,42,1,2,1,1,3,1,2,3,1,2,,1995
Bill Cowher,PIT,16,11,5,0,240,149,90,1,240,149,90,1,3,2,1,21,12,9,21,12,9,AFC Champions,1995
Bobby Ross,SDG,16,9,7,0,80,47,33,0,137,74,63,0,1,0,1,6,3,3,8,3,5,,1995
Dennis Erickson,SEA,16,8,8,0,64,31,33,0,96,40,56,0,0,0,0,0,0,0,0,0,0,,1995
George Seifert,SFO,16,11,5,0,128,98,30,0,176,114,62,0,1,0,1,15,10,5,15,10,5,,1995
Rich Brooks,STL,16,7,9,0,32,13,19,0,32,13,19,0,0,0,0,0,0,0,0,0,0,,1995
Sam Wyche,TAM,16,7,9,0,64,23,41,0,191,84,107,0,0,0,0,0,0,0,5,3,2,,1995
Norv Turner,WAS,16,6,10,0,109,49,59,1,237,114,122,1,0,0,0,2,1,1,8,4,4,,1995
Buddy Ryan,ARI,16,8,8,0,32,12,20,0,111,55,55,1,0,0,0,0,0,0,3,0,3,,1994
June Jones,ATL,16,7,9,0,48,19,29,0,58,22,36,0,0,0,0,1,0,1,1,0,1,,1994
Marv Levy,BUF,16,7,9,0,182,112,70,0,255,143,112,0,0,0,0,19,11,8,19,11,8,,1994
Dave Wannstedt,CHI,16,9,7,0,96,40,56,0,169,82,87,0,2,1,1,2,1,1,5,2,3,,1994
David Shula,CIN,16,3,13,0,71,19,52,0,71,19,52,0,0,0,0,0,0,0,0,0,0,,1994
Bill Belichick,CLE,16,11,5,0,80,36,44,0,466,302,164,0,2,1,1,2,1,1,44,31,13,,1994
Barry Switzer,DAL,16,12,4,0,64,40,24,0,64,40,24,0,2,1,1,7,5,2,7,5,2,,1994
Wade Phillips,DEN,16,7,9,0,32,16,16,0,146,82,64,0,0,0,0,1,0,1,6,1,5,,1994
Wayne Fontes,DET,16,9,7,0,133,66,67,0,133,66,67,0,1,0,1,5,1,4,5,1,4,,1994
Mike Holmgren,GNB,16,9,7,0,112,75,37,0,272,161,111,0,2,1,1,14,9,5,24,13,11,,1994
Jack Pardee,HOU,10,1,9,0,74,43,31,0,164,87,77,0,0,0,0,5,1,4,6,1,5,,1994
Jeff Fisher,HOU,6,1,5,0,262,142,120,0,339,173,165,1,0,0,0,11,5,6,11,5,6,,1994
Ted Marchibroda,IND,16,8,8,0,138,71,67,0,186,87,98,1,0,0,0,6,2,4,6,2,4,,1994
Marty Schottenheimer,KAN,16,9,7,0,160,101,58,1,327,200,126,1,1,0,1,10,3,7,18,5,13,,1994
Don Shula,MIA,16,10,6,0,392,257,133,2,490,328,156,6,2,1,1,31,17,14,36,19,17,,1994
Dennis Green,MIN,16,10,6,0,159,97,62,0,207,113,94,0,1,0,1,12,4,8,12,4,8,,1994
Jim Mora,NOR,16,7,9,0,167,93,74,0,231,125,106,0,0,0,0,4,0,4,6,0,6,,1994
Bill Parcells,NWE,16,10,6,0,64,32,32,0,303,172,130,1,1,0,1,4,2,2,19,11,8,,1994
Dan Reeves,NYG,16,9,7,0,64,31,33,0,357,190,165,2,0,0,0,2,1,1,20,11,9,,1994
Pete Carroll,NYJ,16,6,10,0,16,6,10,0,290,169,120,1,0,0,0,0,0,0,22,11,11,,1994
Rich Kotite,PHI,16,7,9,0,64,36,28,0,96,40,56,0,0,0,0,2,1,1,2,1,1,,1994
Bill Cowher,PIT,16,12,4,0,240,149,90,1,240,149,90,1,2,1,1,21,12,9,21,12,9,,1994
Art Shell,RAI,16,9,7,0,108,56,52,0,108,56,52,0,0,0,0,5,2,3,5,2,3,,1994
Chuck Knox,RAM,16,4,12,0,118,69,48,1,334,186,147,1,0,0,0,8,3,5,18,7,11,,1994
Bobby Ross,SDG,16,11,5,0,80,47,33,0,137,74,63,0,3,2,1,6,3,3,8,3,5,AFC Champions,1994
Tom Flores,SEA,16,6,10,0,48,14,34,0,184,97,87,0,0,0,0,0,0,0,11,8,3,,1994
George Seifert,SFO,16,13,3,0,128,98,30,0,176,114,62,0,3,3,0,15,10,5,15,10,5,Super Bowl Champions,1994
Sam Wyche,TAM,16,6,10,0,64,23,41,0,191,84,107,0,0,0,0,0,0,0,5,3,2,,1994
Norv Turner,WAS,16,3,13,0,109,49,59,1,237,114,122,1,0,0,0,2,1,1,8,4,4,,1994
Jerry Glanville,ATL,16,6,10,0,64,27,37,0,129,60,69,0,0,0,0,2,1,1,7,3,4,,1993
Marv Levy,BUF,16,12,4,0,182,112,70,0,255,143,112,0,3,2,1,19,11,8,19,11,8,AFC Champions,1993
Dave Wannstedt,CHI,16,7,9,0,96,40,56,0,169,82,87,0,0,0,0,2,1,1,5,2,3,,1993
David Shula,CIN,16,3,13,0,71,19,52,0,71,19,52,0,0,0,0,0,0,0,0,0,0,,1993
Bill Belichick,CLE,16,7,9,0,80,36,44,0,466,302,164,0,0,0,0,2,1,1,44,31,13,,1993
Jimmy Johnson,DAL,16,12,4,0,80,44,36,0,144,80,64,0,3,3,0,8,7,1,13,9,4,Super Bowl Champions,1993
Wade Phillips,DEN,16,9,7,0,32,16,16,0,146,82,64,0,1,0,1,1,0,1,6,1,5,,1993
Wayne Fontes,DET,16,10,6,0,133,66,67,0,133,66,67,0,1,0,1,5,1,4,5,1,4,,1993
Mike Holmgren,GNB,16,9,7,0,112,75,37,0,272,161,111,0,2,1,1,14,9,5,24,13,11,,1993
Jack Pardee,HOU,16,12,4,0,74,43,31,0,164,87,77,0,1,0,1,5,1,4,6,1,5,,1993
